name,price,unit,category,tokopedia_link,shopee_link,siplah_link,blibli_link,inaproc_link,spec
Air Conditioning,0,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Pendingin Maman 1 Pk
All Fashioned Glass,0,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Wine Bahan Dasar Kaca
Autofeeder,0,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Kapasitas: 68 kg Program: 1-6 kali/hari Feed time: 1-30 detik Motor: 6 V Power: 6 V
rechargeable"
Bathroom Amenities Tray,0,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Kebutuhan Maridi, Sabun, Shampoo, Dll Terbuat Dari Kayu Atau Marmer, Besi Atau Akrilik, Ukuran P: 20 Cm, Lebar 5 Cm, Tinggi 25 Cm."
Bill Tray,0,Unit,Alat Peraga - Perhotelan,,,,,,Baki Kecil Untuk Rneletakan Bill Pembayaran Bahan Dasar Kayu
Body Mirror,0,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Bercermin cermin ukuran : P60xT150
cm"
Bread Basket,0,Unit,Alat Peraga - Perhotelan,,,,,,Keranjang Tempat Roti Bahan Dasar Rotan
Carafe,0,Unit,Alat Peraga - Perhotelan,,,,,,"Gelas Untuk Menyimpan Susu, Sirup, Wine Bahan Dasar Kaca"
Cheese Knife,0,Unit,Alat Peraga - Perhotelan,,,,,,Pisau Untuk Memotong Dan Menyantap Keju Bahan Dasar Stainless Steel
Cloth / Napkin,0,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Alat Hidang Bahan Kain Katun Damas Ukuran 55 X 55 Cm
CNC Band Saw,0,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk menggergaji kayu  secara vertical dengan  enc control Blade Speed: 20-100  m/min  (66-330 fpm).  Blade Size  (LxWxT):  6600 x 54 x
1.3  mm (260""x  2""x 0.05"").
Blade  Motor:  7.5  HP (5.625 kW).
Hydraulic  Motor: 3  HP (2.25  kW). Coolant  Motor:  1/2   HP (0.375  kW). Automatic  Indexing Length 1500 mm (59""),  Max.  6500  mm (256"")  Workbed
Height:  1085 mm (42.7""). Gross Weight:  8000  kgs. Floor Space
(LxWxH):  (17600  lbs)4060  x 3500 x
2312  (160"" X  138"" X  91"") b"
Coctail Glass,0,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Coctail Bahan Dasar Kaca
Coffee Chair,0,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Tempat Duduk: Terbuat Dari kayu Kombinasi Foam,bungkus Plastik, Atau Kayu keseluruhan Tingi 45 Cm,Lebar 50 Cm"
Coffee Table,0,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Meja Tamu Terbuat Dait kayu Kombinasi Kaca ukuran Meja Panjang 60,Lebar 60,Tinggi 45,Cm"
Collin Glass,0,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Mixed Salad Bahan Dasar Kaca
Comment Steamer,0,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Merapikati Pakaian Denyan Berbaliati Lialus Dun Pnkotnn Ynnq Sulit Disetrik:ADenpnn Cepat Wattage : 1 4To Watt Voltage : 220 24Ov
Creamer Bowl,0,Unit,Alat Peraga - Perhotelan,,,,,,Tempat Untuk Menyajikan Creamer Di Atas Meja Bentuk Kotak Bahan Dasar Keramik
"Cut-away
30 models showing the structure parts of the
ship",0,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,Digunakan untuk mengetahui Struktuk Bangunan Kapal Bentuk Dan Jenis Kapal :1. Jenis Kapal2. J Enis Muatan3. Jenis Konstruksi Bangunan4. Jenis Perairan Pelayaran5. Jenis Alat Tangkap Pada Kapal
Data Acquisition Software,0,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Digunakan untuk mengolah data dari suatu kegiatan untuk membuat analisa dan pelaporan
hasil Software yang mendukung kebutuhan peningkatan kemampuan siswa dengan minimum versi software keluaran 3 Tahun terakhir"
Decanter Glass,0,Unit,Alat Peraga - Perhotelan,,,,,,"Tempat UntukMenyimpan Sirup, Saus Bahan Dasar Kaca"
Banana Split,49000,Unit,Alat Peraga - Perhotelan,,,,,,Piririg Ceper Untuk Menyajikan Banana Split Bahan Dasarkaca
Cake Fork,49000,Unit,Alat Peraga - Perhotelan,,,,,,Garpu Untuk Menyantap Cake Bahan Dasar Stainless Steel
Pinset,60000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Alat penjepit dari stainless steel dengan ujung jepitan melengkung/ mem bentuk sudut.
Untuk mengambil atau
menarik beberapa
sample. Stainless steel"
Beer Mug,66000,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Bir Bahan Dasar kaca
Bath Mat,76000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Mengeringkan Kaki Setelah Mandi Satan Dasar Katun, Ukuran 40 Cm X 70 Cm"
Demitase Cup+ Saucer,114750,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk menghidangkan Kopi Kentak Diameter 5 Cm, Bahan Dasar Keramik"
Steak Knife,125000,Unit,Alat Peraga - Perhotelan,,,,,,Pisau Untuk Menyantap Steak Bahan Dasar Stainless Steel
Tea Spoon,125500,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk MengambilMakanan Bahan Stainless Steel, Panjang 15 Cm, Lebar Scoup 1,5 Cm."
Butter Knife / Butter Spider,143200,Unit,Alat Peraga - Perhotelan,,,,,,Pisau Untuk Mengoles Mentega Bahan Dasar Stainless Steel
